Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
3709,PARCHER,TR,,PARCHER TRAIL,504A5,PUBLIC STREET NAMES
1263,AVENUE 56,,,AVENUE 56,565C7,PUBLIC STREET NAMES
2419,STROHM,AVE,,STROHM AVENUE,563B3,PUBLIC STREET NAMES
7043,EDGEHILL,DR,,EDGEHILL DRIVE,633F7,PUBLIC STREET NAMES
2638,SHORT,WAY,,SHORT WAY,595E3,PUBLIC STREET NAMES
10183,CALLE DEL CIELO,,,CALLE DEL CIELO,630H1,PRIVATE STREET NAMES
5615,JANNA,WAY,,JANNA WAY,482E1,PUBLIC STREET NAMES
124,VIA TORTONA,,,VIA TORTONA,533D3,PRIVATE STREET NAMES
9555,WORLD,WAY,,WORLD WAY,702G5,PRIVATE STREET NAMES
8538,BRIARWOOD,DR,,BRIARWOOD DRIVE,592A2,PUBLIC STREET NAMES
2499,STANMOOR,DR,,STANMOOR DRIVE,702D3,PUBLIC STREET NAMES
6604,FLOWERDALE,CT,,FLOWERDALE COURT,533B1,PUBLIC STREET NAMES
10390,MARCUS,DR,,MARCUS DRIVE,481A5,PUBLIC STREET NAMES
2860,SAN RAFAEL,AVE,,SAN RAFAEL AVENUE,564D3,PUBLIC STREET NAMES
128,VIA SORRENTO,,,VIA SORRENTO,533D3,PRIVATE STREET NAMES
10951,WOODBURN,DR,,WOODBURN DRIVE,631G1,PRIVATE STREET NAMES
2111,TRACTION,AVE,,TRACTION AVENUE,634H5,PUBLIC STREET NAMES
299,REGAN,ST,,REGAN STREET,824C3,PRIVATE STREET NAMES
6688,FERN CANYON,TR,,FERN CANYON TRAIL,564B7,PUBLIC STREET NAMES
8051,CHAMBERLAIN,ST,,CHAMBERLAIN STREET,502A2,PUBLIC STREET NAMES
4724,MANOR,LANE,,MANOR LANE,672B4,PUBLIC STREET NAMES
1434,WOODBINE,ST,,WOODBINE STREET,632F6,PUBLIC STREET NAMES
8653,BOLIVAR,ROAD,,BOLIVAR ROAD,560A5,PUBLIC STREET NAMES
10009,DYER,ST,,DYER STREET,482A5,PRIVATE STREET NAMES
7062,EBEY,AVE,,EBEY AVENUE,595D4,PUBLIC STREET NAMES
422,MONT EAGLE,PL,,MONT EAGLE PLACE,594J1,PRIVATE STREET NAMES
10368,CELEDON,CK,,CELEDON CREEK,702D1,PUBLIC STREET NAMES
5923,HIGHCLIFF,TR,,HIGHCLIFF TRAIL,504A5,PUBLIC STREET NAMES
6702,FELICE,PL,,FELICE PLACE,560E3,PUBLIC STREET NAMES
7694,COTTAGE,PL,,COTTAGE PLACE,634D5,PUBLIC STREET NAMES
10545,TUNDRA,DR,,TUNDRA DRIVE,481J6,PRIVATE ROADWAY NAMES
5770,HOWARD,ST,,HOWARD STREET,634H3,PUBLIC STREET NAMES
7213,DORIC,ST,,DORIC STREET,481B5,PUBLIC STREET NAMES
5042,LINCOLN HIGH,CT,,LINCOLN HIGH COURT,595C7,PUBLIC STREET NAMES
3225,RICHARD,DR,,RICHARD DRIVE,595F4,PUBLIC STREET NAMES
11346,MARIE,LANE,,MARIE LANE,531J5,LIMITED ACCESS AREA NAMES
3020,ROXFORD,ST,,ROXFORD STREET,481F2,PUBLIC STREET NAMES
2714,SHADY,DR,,SHADY DRIVE,631F4,PUBLIC STREET NAMES
7946,CHIVERS,AVE,,CHIVERS AVENUE,481H2,PUBLIC STREET NAMES
7445,DEL ARROYO,DR,,DEL ARROYO DRIVE,503C7,PUBLIC STREET NAMES
28,KETCH,MALL,,KETCH MALL,701J1,PEDESTRIAN MALL NAMES
7731,CORDELL,DR,,CORDELL DRIVE,592G5,PUBLIC STREET NAMES
7373,DE QUINCY,CT,,DE QUINCY COURT,529D3,PUBLIC STREET NAMES
9923,NORTH POINTE,PL,,NORTH POINTE PLACE,560D1,PUBLIC STREET NAMES
6110,HALLDALE,AVE,,HALLDALE AVENUE,633J6,PUBLIC STREET NAMES
1346,YORK HILL,PL,,YORK HILL PLACE,564J7,PUBLIC STREET NAMES
6849,ENROSE,AVE,,ENROSE AVENUE,823H4,PUBLIC STREET NAMES
9998,PINE VALLEY,WAY,,PINE VALLEY WAY,480E7,PRIVATE STREET NAMES
8298,CAMINO REAL,,,CAMINO REAL,595A4,PUBLIC STREET NAMES
6925,EL MIO,DR,,EL MIO DRIVE,595C2,PUBLIC STREET NAMES
9410,ALISO,ST,,ALISO STREET,634G3,PUBLIC STREET NAMES
7773,COMSTOCK,AVE,,COMSTOCK AVENUE,632B1,PUBLIC STREET NAMES
1141,23RD HELENA,DR,,23RD HELENA DRIVE,631F3,PUBLIC STREET NAMES
5118,LEIGHTON,AVE,,LEIGHTON AVENUE,674A2,PUBLIC STREET NAMES
7527,DANALDA,DR,,DANALDA DRIVE,632F6,PUBLIC STREET NAMES
1548,WHITE OAK,PL,,WHITE OAK PLACE,561B4,PUBLIC STREET NAMES
4347,MINTO,CT,,MINTO COURT,595E6,PUBLIC STREET NAMES
3070,ROSECRANS,AVE,,ROSECRANS AVENUE,734C3,PUBLIC STREET NAMES
5528,KAILUA,LANE,,KAILUA LANE,503J3,PUBLIC STREET NAMES
4645,MARMORA,DR,,MARMORA DRIVE,560C5,PUBLIC STREET NAMES
8728,BIRKDALE,ST,,BIRKDALE STREET,594G5,PUBLIC STREET NAMES
10354,WYNFREED,LANE,,WYNFREED LANE,480D6,PRIVATE STREET NAMES
1882,VERDEMOUR,AVE,,VERDEMOUR AVENUE,595D7,PUBLIC STREET NAMES
4172,MURDOCK,AVE,,MURDOCK AVENUE,794H6,PUBLIC STREET NAMES
4462,MELVILLE,AVE,,MELVILLE AVENUE,481B6,PUBLIC STREET NAMES
6728,FAREHOLM,DR,,FAREHOLM DRIVE,593B4,PUBLIC STREET NAMES
6328,GLEN-O-PEACE,PKWY,,GLEN-O-PEACE PARKWAY,503J6,PUBLIC STREET NAMES
5726,I,ST,,I STREET,794E6,PUBLIC STREET NAMES
2141,TOPHAM,ST,,TOPHAM STREET,531A7,PUBLIC STREET NAMES
6847,ENSIGN,AVE,,ENSIGN AVENUE,533A2,PUBLIC STREET NAMES
1312,ZITOLA,WALK,,ZITOLA WALK,702B3,PUBLIC STREET NAMES
3559,PHILO,ST,,PHILO STREET,42B5,PUBLIC STREET NAMES
4314,MOLINO,ST,,MOLINO STREET,634H5,PUBLIC STREET NAMES
4464,MELROSE,PL,,MELROSE PLACE,593A6,PUBLIC STREET NAMES
4536,MCDONIE,AVE,,MCDONIE AVENUE,560D1,PUBLIC STREET NAMES
4628,MARSHALL,DR,,MARSHALL DRIVE,672E5,PUBLIC STREET NAMES
4330,MISSISSIPPI,AVE,,MISSISSIPPI AVENUE,632D4,PUBLIC STREET NAMES
8268,CANTATA,DR,,CANTATA DRIVE,593D3,PUBLIC STREET NAMES
10442,CAMPUS CENTER,DR,,CAMPUS CENTER DRIVE,672F7,PUBLIC STREET NAMES
3319,RAVINE,ROAD,,RAVINE ROAD,594E5,PUBLIC STREET NAMES
6229,GRANDE VISTA,AVE,,GRANDE VISTA AVENUE,675B1,PUBLIC STREET NAMES
1270,AVENUE 49,,,AVENUE 49,595A1,PUBLIC STREET NAMES
10415,BLUFF CREEK,DR,,BLUFF CREEK DRIVE,672G6,PUBLIC STREET NAMES
1104,30TH,ST,,30TH STREET,674D1,PUBLIC STREET NAMES
1538,WHITNALL,HWY,,WHITNALL HIGHWAY,563B1,PUBLIC STREET NAMES
10062,SYCAMORE,TER,,SYCAMORE TERRACE,595B3,PUBLIC STREET NAMES
8165,CASE,AVE,,CASE AVENUE,533A6,PUBLIC STREET NAMES
5344,LA CIENEGA,BLVD,,LA CIENEGA BOULEVARD,592J7,PUBLIC STREET NAMES
5651,ISLETA,ST,,ISLETA STREET,631H2,PUBLIC STREET NAMES
8338,CALIFA,ST,,CALIFA STREET,563A1,PUBLIC STREET NAMES
6931,EL MANOR,AVE,,EL MANOR AVENUE,672G7,PUBLIC STREET NAMES
872,213TH,ST,,213TH STREET,764A6,PUBLIC STREET NAMES
8970,BARNABY,ROAD,,BARNABY ROAD,591J7,PUBLIC STREET NAMES
5393,KIVIK,ST,,KIVIK STREET,559F3,PUBLIC STREET NAMES
7472,DEER,AVE,,DEER AVENUE,562C6,PUBLIC STREET NAMES
9929,WATCHORN,WALK,,WATCHORN WALK,824C7,PRIVATE STREET NAMES
5562,JONESBORO,PL,,JONESBORO PLACE,631D4,PUBLIC STREET NAMES
6075,HANNUM,DR,,HANNUM DRIVE,632G7,PUBLIC STREET NAMES
1533,WICKLOW,ROAD,,WICKLOW ROAD,632F6,PUBLIC STREET NAMES
3092,RONAN,AVE,,RONAN AVENUE,794D1,PUBLIC STREET NAMES
4905,LORENZO,DR,,LORENZO DRIVE,632F5,PUBLIC STREET NAMES
8039,CHANUTE,ST,,CHANUTE STREET,502E3,PUBLIC STREET NAMES
7170,DRYAD,CT,,DRYAD COURT,NA,PUBLIC STREET NAMES
4318,MODJESKA,ST,,MODJESKA STREET,594F4,PUBLIC STREET NAMES
7632,CRESTA,PL,,CRESTA PLACE,632F5,PUBLIC STREET NAMES
3229,RICARDO,ST,,RICARDO STREET,635C3,PUBLIC STREET NAMES
8196,CARNEGIE,ST,,CARNEGIE STREET,595D5,PUBLIC STREET NAMES
10656,KNOLL,HILL,,KNOLL HILL,480J6,PRIVATE STREET NAMES
10709,JESTER,CT,,JESTER COURT,501H6,PRIVATE ROADWAY NAMES
1296,AVENUE 23,,,AVENUE 23,594J7,PUBLIC STREET NAMES
5911,HIGHLAND VIEW,AVE,,HIGHLAND VIEW AVENUE,565A5,PUBLIC STREET NAMES
1031,65TH,ST,,65TH STREET,674D7,PUBLIC STREET NAMES
3231,RIALTO,CT,,RIALTO COURT,671J5,PUBLIC STREET NAMES
8067,CERROLA,LANE,,CERROLA LANE,NA,PUBLIC STREET NAMES
1444,WOLLAM,ST,,WOLLAM STREET,594H3,PUBLIC STREET NAMES
5298,LAKE VIEW,AVE,,LAKE VIEW AVENUE,594E4,PUBLIC STREET NAMES
4142,NAPOLEON,ST,,NAPOLEON STREET,702B4,PUBLIC STREET NAMES
3296,RED OAK,DR,,RED OAK DRIVE,593H2,PUBLIC STREET NAMES
5125,LEGARY,PL,,LEGARY PLACE,823H5,PUBLIC STREET NAMES
3071,ROSEBUD,AVE,,ROSEBUD AVENUE,594F4,PUBLIC STREET NAMES
7842,COLCHESTER,WAY,,COLCHESTER WAY,500J1,PUBLIC STREET NAMES
8408,BURR,ST,,BURR STREET,595E4,PUBLIC STREET NAMES
7929,CISCO,ST,,CISCO STREET,632G5,PUBLIC STREET NAMES
8533,BRIDLE,TR,,BRIDLE TRAIL,630H5,PUBLIC STREET NAMES
2431,STRADELLA,CT,,STRADELLA COURT,591J5,PUBLIC STREET NAMES
9184,ARIEL,AVE,,ARIEL AVENUE,530H4,PUBLIC STREET NAMES
3793,OVERING,DR,,OVERING DRIVE,559E3,PUBLIC STREET NAMES
1766,VISTA DEL MAR,AVE,,VISTA DEL MAR AVENUE,593F4,PUBLIC STREET NAMES
643,DOCK,ST,,DOCK STREET,NA,PRIVATE STREET NAMES
5123,LEGION,LANE,,LEGION LANE,594D1,PUBLIC STREET NAMES
4858,LOWRY,ROAD,,LOWRY ROAD,594B2,PUBLIC STREET NAMES
3535,PINE VALLEY,PL,,PINE VALLEY PLACE,480F7,PUBLIC STREET NAMES
5102,LEMP,AVE,,LEMP AVENUE,532H3,PUBLIC STREET NAMES
10770,SHADY PALMS,LANE,,SHADY PALMS LANE,482C4,PRIVATE ROADWAY NAMES
2953,ST CLAIR,AVE,,ST CLAIR AVENUE,532F7,PUBLIC STREET NAMES
5771,HOWARD,CT,,HOWARD COURT,560D5,PUBLIC STREET NAMES
10761,CASCADE,CT,,CASCADE COURT,502D6,PRIVATE ROADWAY NAMES
10443,JONAH,CT,,JONAH COURT,560J2,PRIVATE STREET NAMES
5762,HUBBARD,PL,,HUBBARD PLACE,481J6,PUBLIC STREET NAMES
5216,LAS FLORES,CT,,LAS FLORES COURT,672F2,PUBLIC STREET NAMES
2937,SAINT PIERRE,ROAD,,SAINT PIERRE ROAD,592B6,PUBLIC STREET NAMES
2296,TAHOE,PL,,TAHOE PLACE,563E7,PUBLIC STREET NAMES
1935,VAN HORNE,AVE,,VAN HORNE AVENUE,593G7,PUBLIC STREET NAMES
9450,ALBERTINE,ST,,ALBERTINE STREET,635B7,PUBLIC STREET NAMES
10749,SAGEBROOK,ROAD,,SAGEBROOK ROAD,499J3,PRIVATE STREET NAMES
2609,SILVER LAKE,BLVD,,SILVER LAKE BOULEVARD,594E3,PUBLIC STREET NAMES
5132,LE DOUX,ROAD,,LE DOUX ROAD,632J1,PUBLIC STREET NAMES
3795,OVADA,PL,,OVADA PLACE,631H1,PUBLIC STREET NAMES
1014,77TH,ST,,77TH STREET,704E1,PUBLIC STREET NAMES
,,,,,,
113,VILLAGE,ROAD,,VILLAGE ROAD,702B3,PRIVATE STREET NAMES
5981,HEDGES,WAY,,HEDGES WAY,592J5,PUBLIC STREET NAMES
5543,JUNALUSKA,WAY,,JUNALUSKA WAY,630J5,PUBLIC STREET NAMES
5808,HOLMAN,AVE,,HOLMAN AVENUE,632C3,PUBLIC STREET NAMES
7401,DELROSA,WALK,,DELROSA WALK,565A6,PUBLIC STREET NAMES
4870,LOUISE,AVE,,LOUISE AVENUE,481A5,PUBLIC STREET NAMES
9322,AMAPOLA,LANE,,AMAPOLA LANE,592B7,PUBLIC STREET NAMES
10712,COMO,CIR,,COMO CIRCLE,559J2,PRIVATE ROADWAY NAMES
3570,PETERSON,AVE,,PETERSON AVENUE,529E6,PUBLIC STREET NAMES
8357,CAITHNESS,ST,,CAITHNESS STREET,480H6,PUBLIC STREET NAMES
11041,LUNA,PARK,,LUNA PARK,633A4,LIMITED ACCESS AREA NAMES
3691,PARK LANE,PL,,PARK LANE PLACE,561E7,PUBLIC STREET NAMES
6370,GLEN AIRY,,,GLEN AIRY,593F2,PUBLIC STREET NAMES
6170,GRENADIER,DR,,GRENADIER DRIVE,823G6,PUBLIC STREET NAMES
9567,MINI,WAY,,MINI WAY,561F4,PRIVATE STREET NAMES
854,238TH,ST,,238TH STREET,793J2,PUBLIC STREET NAMES
9364,ALTA,ST,,ALTA STREET,635B1,PUBLIC STREET NAMES
937,126TH,ST,,126TH STREET,734B1,PUBLIC STREET NAMES
6902,EL ROBLE,LANE,,EL ROBLE LANE,592F3,PUBLIC STREET NAMES
1680,WATERVIEW,ST,,WATERVIEW STREET,702B4,PUBLIC STREET NAMES
10827,CALABRIA,WAY,,CALABRIA WAY,480E6,PRIVATE STREET NAMES
704,CHIANG KAI-SHEK,HWY,,CHIANG KAI-SHEK HIGHWAY,NA,PRIVATE STREET NAMES
9414,ALHAMA,DR,,ALHAMA DRIVE,560B3,PUBLIC STREET NAMES
9965,KITTY'S,LANE,,KITTY'S LANE,504C6,PUBLIC STREET NAMES
8457,BRUSSELS,AVE,,BRUSSELS AVENUE,502H1,PUBLIC STREET NAMES
5278,LA MONTANA,PL,,LA MONTANA PLACE,560H4,PUBLIC STREET NAMES
295,RICHELIEU,TER,,RICHELIEU TERRACE,595D7,PRIVATE STREET NAMES
2703,SHAMROCK,PL,,SHAMROCK PLACE,500D3,PUBLIC STREET NAMES
701,CINDY,LANE,,CINDY LANE,564J6,PRIVATE STREET NAMES
5898,HIGMAN,AVE,,HIGMAN AVENUE,593D5,PUBLIC STREET NAMES
1663,WEAVER,LANE,,WEAVER LANE,595D1,PUBLIC STREET NAMES
4377,MILLER,DR,,MILLER DRIVE,592J5,PUBLIC STREET NAMES
6918,ELMWOOD,AVE,,ELMWOOD AVENUE,593G7,PUBLIC STREET NAMES
1092,35TH,ST,,35TH STREET,854B2,PUBLIC STREET NAMES
1970,VALLEYBRINK,ROAD,,VALLEYBRINK ROAD,594D1,PUBLIC STREET NAMES
8152,CASSARA,AVE,,CASSARA AVENUE,503B1,PUBLIC STREET NAMES
8593,BRADBURY,ROAD,,BRADBURY ROAD,632E6,PUBLIC STREET NAMES
972,101ST,ST,,101ST STREET,704H4,PUBLIC STREET NAMES
8024,CHARLEMONT,AVE,,CHARLEMONT AVENUE,559H5,PUBLIC STREET NAMES
8769,BEVERLY,PL,,BEVERLY PLACE,592D4,PUBLIC STREET NAMES
1410,WOODLAWN,CT,,WOODLAWN COURT,674C2,PUBLIC STREET NAMES
711,CENTURY WOODS,WAY,,CENTURY WOODS WAY,632E4,PRIVATE STREET NAMES
9462,ALANDELE,AVE,,ALANDELE AVENUE,633B3,PUBLIC STREET NAMES
1122,27TH,DR,,27TH DRIVE,853J1,PUBLIC STREET NAMES
4732,MANITOU,PL,,MANITOU PLACE,635C1,PUBLIC STREET NAMES
8142,CASTILIAN,DR,,CASTILIAN DRIVE,593D2,PUBLIC STREET NAMES
5982,HEDGES,PL,,HEDGES PLACE,592J5,PUBLIC STREET NAMES
6863,ENADIA,WAY,,ENADIA WAY,529G5,PUBLIC STREET NAMES
5178,LAURELMONT,PL,,LAURELMONT PLACE,593A3,PUBLIC STREET NAMES
5701,INDIANAPOLIS,ST,,INDIANAPOLIS STREET,672B2,PUBLIC STREET NAMES
4461,MELVILLE,PL,,MELVILLE PLACE,481B5,PUBLIC STREET NAMES
9789,FULLER,AVE,,FULLER AVENUE,633C2,PRIVATE STREET NAMES
10865,CONCERT PARK,DR,,CONCERT PARK DRIVE,702D1,PUBLIC STREET NAMES
916,148TH,DR,,148TH DRIVE,734B4,PUBLIC STREET NAMES
892,173RD,ST,,173RD STREET,734B7,PUBLIC STREET NAMES
5319,LA GRANADA,DR,,LA GRANADA DRIVE,593E3,PUBLIC STREET NAMES
8986,BARBOUR,CT,,BARBOUR COURT,824B7,PUBLIC STREET NAMES
7504,DAVANA,TER,,DAVANA TERRACE,562B5,PUBLIC STREET NAMES
10089,CORAL PINK,CIR,,CORAL PINK CIRCLE,529J7,PRIVATE ROADWAY NAMES
9239,APEX,AVE,,APEX AVENUE,594D5,PUBLIC STREET NAMES
4031,NORTH BROADWAY,,,NORTH BROADWAY,635C1,PUBLIC STREET NAMES
10995,PASEO LOMASO,,,PASEO LOMASO,500D2,PRIVATE ROADWAY NAMES
,,,,,,
2757,SELKIRK,LANE,,SELKIRK LANE,592A3,PUBLIC STREET NAMES
6308,GLOBE,AVE,,GLOBE AVENUE,672D2,PUBLIC STREET NAMES
4473,MELBOURNE,AVE,,MELBOURNE AVENUE,594A4,PUBLIC STREET NAMES
10064,SUNRISE HILL,DR,,SUNRISE HILL DRIVE,591F4,PRIVATE ROADWAY NAMES
802,ANTWERP,ST,,ANTWERP STREET,704F5,PRIVATE STREET NAMES
3185,RIOS,ST,,RIOS STREET,560B5,PUBLIC STREET NAMES
